FID,FID_,ComuneCata,TipoColtur,Variet_,Bodenart__,Humus____,pH_Wert__i,Karbonate_,Kalkbedarf,Phosphat__,Kali__K_O_,Magnesium_,Bor__B__im,Mangan__Mn,Kupfer__Cu,Zink__Zn__,NUM,ID_string,ID_suolo,Num_Soil,Soil_newCl,Schluff,Tonig,Sand,x_Coord,y_Coord
0,0,609 - Eppan a.d.Weinstrasse,01 - Obstbau,18 - Fuji,sandiger Schluff,2.4,7.2,+  geringer bis mittlerer Karbonatgehalt,0,16,13,35,1.15,108,19,14,3706/1,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672445,5153779
1,1,609 - Eppan a.d.Weinstrasse,01 - Obstbau,18 - Fuji,sandiger Schluff,2.4,7.2,+  geringer bis mittlerer Karbonatgehalt,0,16,13,35,1.15,108,19,14,3706/2,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672420,5153724
2,2,609 - Eppan a.d.Weinstrasse,01 - Obstbau,19 - Gala,sandiger Schluff,3,7.4,++  hoher Karbonatgehalt,0,5,19,31,0.85,29,14,9,3705/4,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672306,5153693
3,3,609 - Eppan a.d.Weinstrasse,01 - Obstbau,18 - Fuji,sandiger Schluff,2,7.2,+  geringer bis mittlerer Karbonatgehalt,0,14,18,33,0.88,36,18,10,3705/16,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672228,5153512
4,4,609 - Eppan a.d.Weinstrasse,01 - Obstbau, ,sandiger Schluff,2.3,7.2,+  geringer bis mittlerer Karbonatgehalt,0,17,13,42,0.69,99,16,14,3706/4,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672375,5153432
5,5,609 - Eppan a.d.Weinstrasse,01 - Obstbau,19 - Gala,sandiger Schluff,2.3,7.3,+  geringer bis mittlerer Karbonatgehalt,0,4,15,39,0.71,51,13,8,3705/19,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672215,5153412
6,6,609 - Eppan a.d.Weinstrasse,01 - Obstbau,19 - Gala,sandiger Schluff,2.3,7.3,+  geringer bis mittlerer Karbonatgehalt,0,4,15,39,0.71,51,13,8,3705/5,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672218,5153391
7,7,609 - Eppan a.d.Weinstrasse,01 - Obstbau,43 - Stayman/Winesap,schluffiger Sand,1.9,7.2,++  hoher Karbonatgehalt,0,14,23,36,0.62,49,11,6,3706/5,23,Sabbioso limoso,23,schluffiger Sand,35,5,60,672373,5153367
8,8,609 - Eppan a.d.Weinstrasse,01 - Obstbau,19 - Gala,sandiger Schluff,2.8,7,++  hoher Karbonatgehalt,0,12,14,26,0.81,47,19,7,3695/147,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672076,5153318
9,9,609 - Eppan a.d.Weinstrasse,01 - Obstbau,19 - Gala,sandiger Schluff,2.8,7,++  hoher Karbonatgehalt,0,12,14,26,0.81,47,19,7,3695/146,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672074,5153302
10,10,609 - Eppan a.d.Weinstrasse,01 - Obstbau,39 - Red Delicious Stan,humoser toniger Schluff,6.3,7.2,+++  sehr hoher Karbonatgehalt,0,10,18,41,1.98,34,18,10,3705/11,16,mediamente dotato di humus Limoso argilloso,16,toniger Schluff,75,15,10,672210,5153233
11,11,609 - Eppan a.d.Weinstrasse,01 - Obstbau,18 - Fuji,humoser sandiger Schluff,5.4,7,++  hoher Karbonatgehalt,0,16,19,25,0.92,19,25,18,3695/142,9,mediamente dotato di humus Limoso sabbioso,9,sandiger Schluff,65,5,30,672059,5153239
12,12,609 - Eppan a.d.Weinstrasse,01 - Obstbau,18 - Fuji,humoser sandiger Schluff,5.4,7,++  hoher Karbonatgehalt,0,16,19,25,0.92,19,25,18,3695/141,9,mediamente dotato di humus Limoso sabbioso,9,sandiger Schluff,65,5,30,672050,5153224
13,13,609 - Eppan a.d.Weinstrasse,01 - Obstbau, ,toniger Schluff,3.6,7.1,+  geringer bis mittlerer Karbonatgehalt,0,11,17,45,1.44,132,16,13,3711/2,36,Limoso argilloso,36,toniger Schluff,75,15,10,672384,5153185
14,14,609 - Eppan a.d.Weinstrasse,01 - Obstbau, ,toniger Schluff,3.6,7.1,+  geringer bis mittlerer Karbonatgehalt,0,11,17,45,1.44,132,16,13,3710/3,36,Limoso argilloso,36,toniger Schluff,75,15,10,672465,5153176
15,15,609 - Eppan a.d.Weinstrasse,01 - Obstbau,18 - Fuji,humoser sandiger Schluff,5.4,7,++  hoher Karbonatgehalt,0,16,19,25,0.92,19,25,18,3695/140,9,mediamente dotato di humus Limoso sabbioso,9,sandiger Schluff,65,5,30,672053,5153207
16,16,609 - Eppan a.d.Weinstrasse,01 - Obstbau,19 - Gala,humoser sandiger Schluff,4.7,6.9,++  hoher Karbonatgehalt,0,21,18,30,1.28,28,28,13,3695/137,9,mediamente dotato di humus Limoso sabbioso,9,sandiger Schluff,65,5,30,672041,5153173
17,17,609 - Eppan a.d.Weinstrasse,01 - Obstbau,19 - Gala,humoser sandiger Schluff,4.7,6.9,++  hoher Karbonatgehalt,0,21,18,30,1.28,28,28,13,3695/136,9,mediamente dotato di humus Limoso sabbioso,9,sandiger Schluff,65,5,30,672036,5153165
18,18,609 - Eppan a.d.Weinstrasse,01 - Obstbau,45 - Verschiedene,toniger Schluff,3.5,7.2,+  geringer bis mittlerer Karbonatgehalt,0,24,21,49,1.88,117,24,13,3711/1,36,Limoso argilloso,36,toniger Schluff,75,15,10,672567,5153094
19,19,609 - Eppan a.d.Weinstrasse,01 - Obstbau,26 - Granny Smith,humoser sandiger Schluff,4.9,7.3,++  hoher Karbonatgehalt,0,20,16,32,1.31,23,25,8,3695/128,9,mediamente dotato di humus Limoso sabbioso,9,sandiger Schluff,65,5,30,672014,5153103
20,20,609 - Eppan a.d.Weinstrasse,01 - Obstbau,26 - Granny Smith,humoser sandiger Schluff,4.9,7.3,++  hoher Karbonatgehalt,0,20,16,32,1.31,23,25,8,3695/126,9,mediamente dotato di humus Limoso sabbioso,9,sandiger Schluff,65,5,30,672007,5153088
21,21,609 - Eppan a.d.Weinstrasse,01 - Obstbau,18 - Fuji,schluffiger Sand,2.7,7.1,+  geringer bis mittlerer Karbonatgehalt,0,11,9,45,1.31,106,14,16,3714,23,Sabbioso limoso,23,schluffiger Sand,35,5,60,672554,5153005
22,22,609 - Eppan a.d.Weinstrasse,01 - Obstbau,19 - Gala,sandiger Schluff,3.8,7,++  hoher Karbonatgehalt,0,20,14,35,0.99,39,25,10,3705/67,20,Limoso sabbioso,20,sandiger Schluff,65,5,30,672200,5153023
