FID,FID_,ComuneCata,TipoColtur,Variet_,Bodenart__,Humus____,pH_Wert__i,Karbonate_,Kalkbedarf,Phosphat__,Kali__K_O_,Magnesium_,Bor__B__im,Mangan__Mn,Kupfer__Cu,Zink__Zn__,NUM,ID_string,ID_suolo,Num_Soil,Soil_newCl,Schluff,Tonig,Sand,x_Coord,y_Coord
0,1088,641 - Galsaun,01 - Obstbau,23 - Golden Delicious,humoser lehmiger Sand,7.100000000000000,6.000000000000000,0  kein freies Karbonat,0.000000000000000,48.000000000000000,32.000000000000000,24.000000000000000,1.190000000000000,53.000000000000000,94.000000000000000,40.000000000000000,45,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,646727.000000000000000,5166112.000000000000000
1,1089,641 - Galsaun,01 - Obstbau,19 - Gala,humoser lehmiger Sand,7.100000000000000,6.100000000000000,+  geringer bis mittlerer Karbonatgehalt,0.000000000000000,33.000000000000000,22.000000000000000,27.000000000000000,1.550000000000000,49.000000000000000,219.000000000000000,32.000000000000000,125/5,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,646224.000000000000000,5166110.000000000000000
2,1090,641 - Galsaun,01 - Obstbau,45 - Verschiedene,humoser lehmiger Sand,4.900000000000000,6.800000000000000,++  hoher Karbonatgehalt,0.000000000000000,54.000000000000000,46.000000000000000,38.000000000000000,1.950000000000000,34.000000000000000,13.000000000000000,23.000000000000000,232,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,646712.000000000000000,5165792.000000000000000
3,1091,641 - Galsaun,01 - Obstbau,19 - Gala,schwach lehmiger Sand,4.000000000000000,7.000000000000000,+++  sehr hoher Karbonatgehalt,0.000000000000000,44.000000000000000,13.000000000000000,30.000000000000000,1.110000000000000,17.000000000000000,14.000000000000000,25.000000000000000,440,24,Sabbioso debolmente franco,24,lehmiger Sand,20.000000000000000,7.000000000000000,73.000000000000000,647181.000000000000000,5165838.000000000000000
4,1092,641 - Galsaun,01 - Obstbau,39 - Red Delicious Stan,humoser lehmiger Sand,4.900000000000000,6.200000000000000,+  geringer bis mittlerer Karbonatgehalt,0.000000000000000,42.000000000000000,44.000000000000000,20.000000000000000,1.090000000000000,53.000000000000000,24.000000000000000,26.000000000000000,141,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,646420.000000000000000,5165844.000000000000000
5,1093,641 - Galsaun,01 - Obstbau,23 - Golden Delicious,stark humoser schwach lehmiger Sand,9.900000000000000,6.800000000000000,++  hoher Karbonatgehalt,0.000000000000000,53.000000000000000,26.000000000000000,30.000000000000000,1.080000000000000,15.000000000000000,9.000000000000000,18.000000000000000,357/8,31,umifero Sabbioso debolmente franco,31,lehmiger Sand,20.000000000000000,7.000000000000000,73.000000000000000,647614.000000000000000,5165854.000000000000000
6,1094,641 - Galsaun,01 - Obstbau,23 - Golden Delicious,humoser lehmiger Sand,5.800000000000000,6.700000000000000,+  geringer bis mittlerer Karbonatgehalt,0.000000000000000,42.000000000000000,16.000000000000000,34.000000000000000,1.180000000000000,27.000000000000000,10.000000000000000,23.000000000000000,357/5,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,647742.000000000000000,5165842.000000000000000
7,1095,641 - Galsaun,01 - Obstbau,45 - Verschiedene,schwach lehmiger Sand,1.500000000000000,7.000000000000000,+  geringer bis mittlerer Karbonatgehalt,0.000000000000000,14.000000000000000,17.000000000000000,19.000000000000000,0.780000000000000,29.000000000000000,11.000000000000000,3.000000000000000,80,24,Sabbioso debolmente franco,24,lehmiger Sand,20.000000000000000,7.000000000000000,73.000000000000000,646509.000000000000000,5165841.000000000000000
8,1096,641 - Galsaun,01 - Obstbau,19 - Gala,schwach lehmiger Sand,4.000000000000000,7.000000000000000,+++  sehr hoher Karbonatgehalt,0.000000000000000,44.000000000000000,13.000000000000000,30.000000000000000,1.110000000000000,17.000000000000000,14.000000000000000,25.000000000000000,441,24,Sabbioso debolmente franco,24,lehmiger Sand,20.000000000000000,7.000000000000000,73.000000000000000,647146.000000000000000,5165830.000000000000000
9,1097,641 - Galsaun,01 - Obstbau,39 - Red Delicious Stan,humoser lehmiger Sand,5.100000000000000,6.700000000000000,+  geringer bis mittlerer Karbonatgehalt,0.000000000000000,79.000000000000000,46.000000000000000,42.000000000000000,2.410000000000000,65.000000000000000,21.000000000000000,23.000000000000000,223/1,6,mediamente dotato di humus Sabbioso franco,6,lehmiger Sand,30.000000000000000,20.000000000000000,50.000000000000000,646662.000000000000000,5165752.000000000000000
